개방자치단체코드,관리번호,데이터갱신구분,관리기관명,발급기명,설치장소주소,설치장소상세위치,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,운영시간참고내용,설치운영URL,사용여부명,장애인편의기능정보,시각장애인용키패드,시각장애인용음성안내,청각장애인용화면안내,점자라벨부착,이어폰소켓,촉각(전자)모니터,화면확대기능,휠체어사용자조작,최종수정시점,시도코드,설치장소위치,도로시군구코드,도로코드,도로명읍면동번호,도로건물층구분,도로건물본번호,도로건물부번호,등기사항증명서발급구분,가족관계삭제발급구분,데이터갱신시점
3000000,525,I,서울특별시 종로구,싱가폴대사관,"서울특별시 종로구 종로1길 36, 종로구청 (수송동)",싱가포르대사관,0:00,2400,0:00,2400,,https://overseas.mofa.go.kr/waitingroom/main.html,사용,,제공,제공,제공,부착,제공,제공,제공,가능,2024.12.11 14:35,6110000,기타,11110,4100312,2,0,36,,미발급,미발급,2026.1.16 18:34
3000000,103,I,서울특별시 종로구,종로구청 상황실,"서울특별시 종로구 종로1길 36, 대림빌딩 (수송동)",종로구청 상황실,0:00,2400,0:00,2400,연중무휴,http://www.jongno.go.kr/Main.do?menuId=1015&menuNo=1015,사용,,제공,제공,제공,부착,제공,제공,제공,가능,2025.6.17 10:55,6110000,시군구,11110,4100312,2,0,36,,미발급,발급,2026.1.16 18:34
3000000,102,I,서울특별시 종로구,종로구청 부동산정보과2,"서울특별시 종로구 종로1길 50, 더케이트윈타워 B동 5층 (중학동)",민원실외부,9:00,18:00,,,주말정기 휴무,http://www.jongno.go.kr/Main.do?menuId=1015&menuNo=1015,사용,,제공,제공,제공,부착,제공,제공,제공,가능,2025.10.27 9:07,6110000,시군구,11110,4100312,3,0,50,,발급,발급,2026.1.16 18:34
3000000,518,I,서울특별시 종로구,올림픽기념국민생활관,서울특별시 종로구 성균관로 91(혜화동),1층 로비,6:00,21:00,9:00,17:00,,http://www.jongno.go.kr/Main.do?menuId=1015&menuNo=1015,사용,,제공,제공,제공,부착,제공,제공,제공,가능,2024.11.7 12:09,6110000,문화복지센터,11110,3100008,2,0,91,,미발급,발급,2026.1.16 18:34
3000000,502,I,서울특별시 종로구,종로구청 민원실1,"서울특별시 종로구 종로1길 36, 대림빌딩 (수송동)",민원실 외부,9:00,18:00,,,주말정기 휴무,http://www.jongno.go.kr/Main.do?menuId=1015&menuNo=1015,사용,,제공,제공,제공,부착,제공,제공,제공,가능,2024.11.7 11:43,6110000,시군구,11110,4100312,2,0,36,,발급,발급,2026.1.16 18:34
3000000,523,I,서울특별시 종로구,말레이시아대사관,"서울특별시 종로구 종로1길 36, 종로구청 (수송동)",말레이시아영사관,0:00,2400,0:00,2400,,https://overseas.mofa.go.kr/waitingroom/main.html,사용,,제공,제공,제공,부착,제공,제공,제공,가능,2024.7.1 11:25,6110000,기타,11110,4100312,2,0,36,,미발급,미발급,2026.1.16 18:34
3000000,521,I,서울특별시 종로구,LA영사관1번,"서울특별시 종로구 종로1길 36, 종로구청 (수송동)",LA영사관,0:00,2400,0:00,2400,,https://overseas.mofa.go.kr/waitingroom/main.html,사용,,제공,제공,제공,부착,제공,제공,제공,가능,2024.7.1 11:25,6110000,기타,11110,4100312,2,0,36,,미발급,미발급,2026.1.16 18:34
3000000,508,I,서울특별시 종로구,경복궁역,"서울특별시 종로구 사직로 지하130, 3호선 경복궁역 (적선동)",민원실 외부,5:00,23:00,5:00,23:00,주말정기 휴무,http://www.jongno.go.kr/Main.do?menuId=1015&menuNo=1015,사용,,제공,제공,제공,부착,제공,제공,제공,가능,2024.11.7 12:17,6110000,시군구,11110,3100005,1,1,130,,미발급,미발급,2026.1.16 18:34
3000000,526,I,서울특별시 종로구,경희궁 청사,"서울특별시 종로구 새문안로 41, 경찰박물관 (신문로2가)",1층 로비,8:50,18:10,,,주말 정기 휴무,http://www.jongno.go.kr/Main.do?menuId=1015&menuNo=1015,사용,,제공,제공,제공,부착,제공,미제공,제공,가능,2025.12.10 16:07,6110000,시군구,11110,3005004,4,0,41,,미발급,발급,2026.1.16 18:34
3000000,516,I,서울특별시 종로구,종로구민회관,서울특별시 종로구 지봉로 5 (창신동),1층로비,6:00,21:00,9:00,18:00,주말가능,http://www.jongno.go.kr/Main.do?menuId=1015&menuNo=1015,사용,,제공,제공,제공,부착,제공,제공,제공,가능,2024.7.1 11:25,6110000,구민회관,11110,3005007,1,0,5,,미발급,미발급,2026.1.16 18:34
