행정구역,설치대수
서울특별시 종로구,28
서울특별시 중구,31
서울특별시 용산구,24
서울특별시 성동구,30
서울특별시 광진구,30
서울특별시 동대문구,36
서울특별시 중랑구,21
서울특별시 성북구,31
서울특별시 강북구,28
서울특별시 도봉구,23
서울특별시 노원구,23
서울특별시 은평구,36
서울특별시 서대문구,33
서울특별시 마포구,25
서울특별시 양천구,37
서울특별시 강서구,31
서울특별시 구로구,32
서울특별시 금천구,24
서울특별시 영등포구,44
서울특별시 동작구,23
서울특별시 관악구,31
서울특별시 서초구,36
서울특별시 강남구,57
서울특별시 송파구,28
서울특별시 강동구,36
부산광역시 중구,8
부산광역시 서구,7
부산광역시 동구,9
부산광역시 영도구,6
부산광역시 부산진구,25
부산광역시 동래구,10
부산광역시 남구,22
부산광역시 북구,17
부산광역시 해운대구,24
부산광역시 사하구,20
부산광역시 금정구,22
부산광역시 강서구,21
부산광역시 연제구,21
부산광역시 수영구,16
부산광역시 사상구,18
부산광역시 기장군,17
대구광역시 중구,14
대구광역시 동구,17
대구광역시 서구,10
대구광역시 남구,8
대구광역시 북구,18
대구광역시 수성구,17
대구광역시 달서구,24
대구광역시 달성군,29
인천광역시 중구,26
인천광역시 동구,10
인천광역시 미추홀구,26
인천광역시 연수구,21
인천광역시 남동구,33
인천광역시 부평구,23
인천광역시 계양구,23
인천광역시 서구,38
인천광역시 강화군,17
인천광역시 옹진군,9
광주광역시 동구,21
광주광역시 서구,34
광주광역시 남구,28
광주광역시 북구,50
광주광역시 광산구,46
대전광역시 동구,21
대전광역시 중구,13
대전광역시 서구,43
대전광역시 유성구,32
대전광역시 대덕구,17
울산광역시 중구,21
울산광역시 남구,36
울산광역시 동구,23
울산광역시 북구,27
울산광역시 울주군,39
경기도 수원시,83
경기도 성남시,63
경기도 의정부시,36
경기도 안양시,36
경기도 부천시,48
경기도 광명시,40
경기도 평택시,47
경기도 동두천시,9
경기도 안산시,51
경기도 고양시,54
경기도 과천시,16
경기도 구리시,17
경기도 남양주시,60
경기도 오산시,22
경기도 시흥시,40
경기도 군포시,17
경기도 의왕시,18
경기도 하남시,35
경기도 용인시,57
경기도 파주시,44
경기도 이천시,37
경기도 안성시,29
경기도 김포시,22
경기도 연천군,16
경기도 가평군,12
경기도 양평군,25
강원특별자치도 춘천시,33
강원특별자치도 원주시,26
강원특별자치도 강릉시,32
강원특별자치도 동해시,10
강원특별자치도 태백시,8
강원특별자치도 속초시,19
강원특별자치도 삼척시,13
강원특별자치도 홍천군,26
강원특별자치도 횡성군,26
강원특별자치도 영월군,18
강원특별자치도 평창군,12
강원특별자치도 정선군,15
강원특별자치도 철원군,17
강원특별자치도 화천군,7
강원특별자치도 양구군,7
강원특별자치도 인제군,10
강원특별자치도 고성군,8
강원특별자치도 양양군,12
충청북도 충주시,29
충청북도 제천시,32
충청북도 보은군,16
충청북도 옥천군,15
충청북도 영동군,16
충청북도 진천군,15
충청북도 괴산군,17
충청북도 음성군,19
충청북도 단양군,8
충청남도 천안시,69
충청남도 공주시,28
충청남도 보령시,33
충청남도 아산시,66
충청남도 서산시,27
충청남도 논산시,29
충청남도 금산군,13
충청남도 부여군,25
충청남도 서천군,11
충청남도 청양군,16
충청남도 홍성군,21
충청남도 예산군,25
충청남도 태안군,15
전북특별자치도 전주시,52
전북특별자치도 군산시,24
전북특별자치도 익산시,26
전북특별자치도 정읍시,23
전북특별자치도 남원시,29
전북특별자치도 김제시,14
전북특별자치도 완주군,17
전북특별자치도 진안군,17
전북특별자치도 무주군,9
전북특별자치도 장수군,8
전북특별자치도 임실군,4
전북특별자치도 순창군,7
전북특별자치도 고창군,9
전북특별자치도 부안군,16
전라남도 목포시,31
전라남도 여수시,42
전라남도 순천시,46
전라남도 나주시,24
전라남도 광양시,23
전라남도 담양군,14
전라남도 곡성군,13
전라남도 구례군,5
전라남도 고흥군,23
전라남도 보성군,16
전라남도 화순군,23
전라남도 장흥군,12
전라남도 강진군,6
전라남도 해남군,23
전라남도 영암군,18
전라남도 무안군,17
전라남도 함평군,10
전라남도 영광군,18
전라남도 장성군,10
전라남도 완도군,17
전라남도 진도군,14
전라남도 신안군,15
경상북도 포항시,55
경상북도 경주시,38
경상북도 김천시,26
경상북도 안동시,33
경상북도 구미시,42
경상북도 영주시,26
경상북도 영천시,24
경상북도 상주시,30
경상북도 문경시,26
경상북도 경산시,25
대구광역시 군위군,9
경상북도 의성군,23
경상북도 청송군,9
경상북도 영양군,7
경상북도 영덕군,17
경상북도 청도군,12
경상북도 고령군,9
경상북도 성주군,14
경상북도 칠곡군,17
경상북도 예천군,16
경상북도 봉화군,11
경상북도 울진군,18
경상북도 울릉군,4
경상남도 진주시,30
경상남도 통영시,22
경상남도 사천시,19
경상남도 김해시,33
경상남도 밀양시,25
경상남도 거제시,50
경상남도 양산시,32
경상남도 의령군,13
경상남도 함안군,12
경상남도 창녕군,18
경상남도 고성군,10
경상남도 남해군,13
경상남도 하동군,19
경상남도 산청군,14
경상남도 함양군,7
경상남도 거창군,17
경상남도 합천군,21
경기도 화성시,87
경기도 광주시,38
충청북도 증평군,4
충청남도 계룡시,7
경기도 양주시,31
경기도 포천시,31
경상남도 창원시,137
충청남도 당진시,39
세종특별자치시,49
경기도 여주시,20
충청북도 청주시,99
제주특별자치도 제주시,52
제주특별자치도 서귀포시,32
