행정구역,고령자 수,독거 노인 수
서울특별시 종로구,27382,6118
서울특별시 중구,24360,6187
서울특별시 용산구,36473,7441
서울특별시 성동구,48758,9647
서울특별시 광진구,56766,11148
서울특별시 동대문구,66244,14633
서울특별시 중랑구,79570,18803
서울특별시 성북구,79278,15827
서울특별시 강북구,68153,17191
서울특별시 도봉구,70910,15155
서울특별시 노원구,96277,23808
서울특별시 은평구,93118,19415
서울특별시 서대문구,56867,11506
서울특별시 마포구,56799,11101
서울특별시 양천구,76812,15439
서울특별시 강서구,102981,23386
서울특별시 구로구,78974,15352
서울특별시 금천구,45130,10700
서울특별시 영등포구,65423,13338
서울특별시 동작구,69962,12954
서울특별시 관악구,84920,18862
서울특별시 서초구,65133,9309
서울특별시 강남구,87112,14616
서울특별시 송파구,109517,17646
서울특별시 강동구,84526,16604
부산광역시 중구,11515,3963
부산광역시 서구,28518,8357
부산광역시 동구,24248,7377
부산광역시 영도구,32823,9641
부산광역시 부산진구,79246,20301
부산광역시 동래구,57751,13351
부산광역시 남구,58944,13174
부산광역시 북구,60006,15973
부산광역시 해운대구,79813,19223
부산광역시 사하구,68630,17678
부산광역시 금정구,53376,13189
부산광역시 강서구,19607,3785
부산광역시 연제구,46606,11024
부산광역시 수영구,41828,9915
부산광역시 사상구,46071,12386
부산광역시 기장군,31507,7839
대구광역시 중구,16754,4304
대구광역시 동구,77011,20035
대구광역시 서구,42781,11898
대구광역시 남구,36052,10497
대구광역시 북구,74454,18179
대구광역시 수성구,76265,16982
대구광역시 달서구,97087,24326
대구광역시 달성군,39591,8851
대구광역시 군위군,9610,2415
인천광역시 중구,24576,5944
인천광역시 동구,14994,3820
인천광역시 연수구,49438,8949
인천광역시 남동구,86353,20997
인천광역시 부평구,88602,20219
인천광역시 계양구,47901,10819
인천광역시 서구,78892,15754
인천광역시 미추홀구,79936,18891
인천광역시 강화군,24423,5153
인천광역시 옹진군,6140,1643
광주광역시 동구,24244,5949
광주광역시 서구,49259,12288
광주광역시 남구,43249,10087
광주광역시 북구,76941,20507
광주광역시 광산구,45213,11162
대전광역시 동구,47183,12602
대전광역시 중구,50176,12628
대전광역시 서구,72648,15852
대전광역시 유성구,43224,8651
대전광역시 대덕구,33386,8554
울산광역시 중구,40186,9980
울산광역시 남구,48828,11026
울산광역시 동구,26210,5522
울산광역시 북구,23953,4841
울산광역시 울주군,39621,9074
세종특별자치시 세종시,42123,8326
경기도 수원시,160665,35882
경기도 성남시,153908,33231
경기도 의정부시,82264,19282
경기도 안양시,92682,17636
경기도 부천시,136740,30349
경기도 광명시,47335,9392
경기도 평택시,77592,17752
경기도 동두천시,20700,6090
경기도 안산시,88648,20571
경기도 고양시,173594,35529
경기도 과천시,12064,1753
경기도 구리시,31491,6532
경기도 남양주시,121155,23357
경기도 오산시,28029,6344
경기도 시흥시,61079,13953
경기도 군포시,44216,9754
경기도 의왕시,26529,4377
경기도 하남시,48386,9027
경기도 용인시,165193,26890
경기도 파주시,77574,15669
경기도 이천시,36842,7596
경기도 안성시,37594,8329
경기도 김포시,71851,13516
경기도 화성시,97892,19382
경기도 광주시,65113,10986
경기도 양주시,46123,10185
경기도 포천시,33440,7997
경기도 여주시,28124,6136
경기도 연천군,12479,3406
경기도 가평군,17803,4581
경기도 양평군,35827,8085
강원특별자치도 춘천시,58020,14262
강원특별자치도 원주시,64810,16567
강원특별자치도 강릉시,51262,13555
강원특별자치도 동해시,20703,5844
강원특별자치도 태백시,11353,3549
강원특별자치도 속초시,18635,5396
강원특별자치도 삼척시,17782,5221
강원특별자치도 홍천군,20885,5634
강원특별자치도 횡성군,15628,3907
강원특별자치도 영월군,12314,3749
강원특별자치도 평창군,13177,3775
강원특별자치도 정선군,10914,3298
강원특별자치도 철원군,10734,2703
강원특별자치도 화천군,5960,1699
강원특별자치도 양구군,5134,1271
강원특별자치도 인제군,7505,1963
강원특별자치도 고성군,8526,2400
