인구 수,행정구역
144486,서울특별시 종로구
126899,서울특별시 중구
203401,서울특별시 용산구
274688,서울특별시 성동구
345130,서울특별시 광진구
355789,서울특별시 동대문구
375066,서울특별시 중랑구
429210,서울특별시 성북구
280470,서울특별시 강북구
296997,서울특별시 도봉구
486446,서울특별시 노원구
448142,서울특별시 은평구
316345,서울특별시 서대문구
358927,서울특별시 마포구
417397,서울특별시 양천구
543974,서울특별시 강서구
418832,서울특별시 구로구
243662,서울특별시 금천구
400799,서울특별시 영등포구
381172,서울특별시 동작구
490493,서울특별시 관악구
386254,서울특별시 서초구
528194,서울특별시 강남구
628648,서울특별시 송파구
454023,서울특별시 강동구
39599,부산광역시 중구
103413,부산광역시 서구
85665,부산광역시 동구
106825,부산광역시 영도구
356874,부산광역시 부산진구
265089,부산광역시 동래구
260090,부산광역시 남구
265364,부산광역시 북구
365974,부산광역시 해운대구
293036,부산광역시 사하구
215539,부산광역시 금정구
145762,부산광역시 강서구
207871,부산광역시 연제구
167787,부산광역시 수영구
205140,부산광역시 사상구
173228,부산광역시 기장군
94128,대구광역시 중구
336051,대구광역시 동구
164110,대구광역시 서구
136118,대구광역시 남구
422633,대구광역시 북구
398685,대구광역시 수성구
533000,대구광역시 달서구
263117,대구광역시 달성군
21493,대구광역시 군위군
164937,인천광역시 중구
57944,인천광역시 동구
417391,인천광역시 연수구
492920,인천광역시 남동구
504885,인천광역시 부평구
278600,인천광역시 계양구
634066,인천광역시 서구
421789,인천광역시 미추홀구
66309,인천광역시 강화군
19192,인천광역시 옹진군
111289,광주광역시 동구
278639,광주광역시 서구
208707,광주광역시 남구
433089,광주광역시 북구
412447,광주광역시 광산구
229875,대전광역시 동구
220497,대전광역시 중구
462226,대전광역시 서구
384024,대전광역시 유성구
170471,대전광역시 대덕구
203766,울산광역시 중구
305176,울산광역시 남구
158268,울산광역시 동구
215421,울산광역시 북구
224264,울산광역시 울주군
390156,세종특별자치시 세종시
1224979,경기도 수원시
900867,경기도 성남시
456516,경기도 의정부시
545800,경기도 안양시
794082,경기도 부천시
272371,경기도 광명시
615755,경기도 평택시
89466,경기도 동두천시
701551,경기도 안산시
1044968,경기도 고양시
81213,경기도 과천시
182102,경기도 구리시
718385,경기도 남양주시
254071,경기도 오산시
571982,경기도 시흥시
258110,경기도 군포시
151306,경기도 의왕시
320872,경기도 하남시
1077481,경기도 용인시
510689,경기도 파주시
230189,경기도 이천시
215739,경기도 안성시
499536,경기도 김포시
1004079,경기도 화성시
402335,경기도 광주시
293000,경기도 양주시
157166,경기도 포천시
117477,경기도 여주시
40386,경기도 연천군
60384,경기도 가평군
121622,경기도 양평군
291783,강원특별자치도 춘천시
365720,강원특별자치도 원주시
212352,강원특별자치도 강릉시
85673,강원특별자치도 동해시
37590,강원특별자치도 태백시
79758,강원특별자치도 속초시
62953,강원특별자치도 삼척시
65719,강원특별자치도 홍천군
45947,강원특별자치도 횡성군
35449,강원특별자치도 영월군
39016,강원특별자치도 평창군
32503,강원특별자치도 정선군
40069,강원특별자치도 철원군
22278,강원특별자치도 화천군
20443,강원특별자치도 양구군
31167,강원특별자치도 인제군
27774,강원특별자치도 고성군
26687,강원특별자치도 양양군
215904,충청북도 충주시
130733,충청북도 제천시
873368,충청북도 청주시
29858,충청북도 보은군
47416,충청북도 옥천군
43730,충청북도 영동군
96544,충청북도 진천군
37346,충청북도 괴산군
106652,충청북도 음성군
26597,충청북도 단양군
38180,충청북도 증평군
694765,충청남도 천안시
104393,충청남도 공주시
96182,충청남도 보령시
392509,충청남도 아산시
178586,충청남도 서산시
114692,충청남도 논산시
45026,충청남도 계룡시
177715,충청남도 당진시
53212,충청남도 금산군
59930,충청남도 부여군
48575,충청남도 서천군
29818,충청남도 청양군
102178,충청남도 홍성군
79848,충청남도 예산군
60814,충청남도 태안군
649634,전북특별자치도 전주시
265473,전북특별자치도 군산시
272392,전북특별자치도 익산시
101887,전북특별자치도 정읍시
73781,전북특별자치도 남원시
79692,전북특별자치도 김제시
102877,전북특별자치도 완주군
22855,전북특별자치도 진안군
22904,전북특별자치도 무주군
19838,전북특별자치도 장수군
24275,전북특별자치도 임실군
25494,전북특별자치도 순창군
51371,전북특별자치도 고창군
46363,전북특별자치도 부안군
214701,전라남도 목포시
265859,전라남도 여수시
271376,전라남도 순천시
118018,전라남도 나주시
150390,전라남도 광양시
43310,전라남도 담양군
25990,전라남도 곡성군
22724,전라남도 구례군
58776,전라남도 고흥군
36033,전라남도 보성군
59174,전라남도 화순군
33351,전라남도 장흥군
31042,전라남도 강진군
62068,전라남도 해남군
60323,전라남도 영암군
92913,전라남도 무안군
29009,전라남도 함평군
50012,전라남도 영광군
40067,전라남도 장성군
48182,전라남도 완도군
29448,전라남도 진도군
35572,전라남도 신안군
493075,경상북도 포항시
258733,경상북도 경주시
136187,경상북도 김천시
153692,경상북도 안동시
407365,경상북도 구미시
99151,경상북도 영주시
99523,경상북도 영천시
92458,경상북도 상주시
65505,경상북도 문경시
298529,경상북도 경산시
47094,경상북도 의성군
23079,경상북도 청송군
15059,경상북도 영양군
32655,경상북도 영덕군
39479,경상북도 청도군
30934,경상북도 고령군
41068,경상북도 성주군
110043,경상북도 칠곡군
53609,경상북도 예천군
27972,경상북도 봉화군
45274,경상북도 울진군
8515,경상북도 울릉군
346145,경상남도 진주시
120204,경상남도 통영시
109218,경상남도 사천시
549861,경상남도 김해시
102535,경상남도 밀양시
241284,경상남도 거제시
359628,경상남도 양산시
1001043,경상남도 창원시
24609,경상남도 의령군
61675,경상남도 함안군
57766,경상남도 창녕군
47664,경상남도 고성군
39011,경상남도 남해군
38704,경상남도 하동군
32480,경상남도 산청군
35073,경상남도 함양군
58393,경상남도 거창군
38950,경상남도 합천군
493908,제주특별자치도 제주시
180909,제주특별자치도 서귀포시
